acc_x;acc_y;acc_z;grav_x;grav_y;grav_z;lin_acc_x;lin_acc_y;lin_acc_z;gyro_x;gyro_y;gyro_z;LIGHT;mag_x;mag_y;mag_z;azimuth;pitch;roll;proximity;pressure;sound;lat;lon;altitude;alt_google;loc_alt_pres;speed_kmh;accuracy;loc_orientation;sats_in_range;lapsed;datetime
-0.937;0.019;10.122;-1.207;0.097;9.732;0.198;-0.091;0.632;0.057;-0.002;-0.008;12.0;1.1;20.9;-50.2;14.0;-0.4;7.3;0.0;1022.3;56.37;47.61248;-122.25778;-64.5;NaN;;10.2;9.67742;43.0;12 / 13;8316007;2015-07-28 19:47:57:799
-1.32;0.043;9.802;-1.229;0.043;9.729;-0.149;0.074;0.229;-0.044;0.033;-0.01;13.0;0.2;19.8;-50.1;17.2;-0.3;7.2;0.0;1022.2;65.48;47.6125;-122.25776;-64.5;NaN;;10.3;9.67742;44.2;12 / 15;8317007;2015-07-28 19:47:58:799
-1.477;0.153;9.405;-1.47;0.105;9.695;-0.04;0.042;0.018;-0.022;0.026;0.014;15.0;1.7;19.7;-50.2;14.4;-0.7;8.4;0.0;1022.2;62.7;47.61251;-122.25773;-61.3;NaN;;10.3;9.67742;45.7;11 / 12;8318007;2015-07-28 19:47:59:799
-1.642;0.122;9.85;-1.641;0.084;9.668;0.017;-0.094;0.354;0.038;0.002;0.028;15.0;3.1;20.7;-50.1;14.2;-0.5;9.6;0.0;1022.3;58.4;47.61254;-122.2577;-61.3;NaN;;11.4;9.67742;41.2;13 / 15;8319008;2015-07-28 19:48:00:800
-1.531;-0.038;10.126;-1.547;-0.038;9.684;-0.021;0.005;0.497;-0.039;0.013;0.002;15.0;2.7;20.2;-50.5;14.1;0.1;9.0;0.0;1022.2;57.25;47.61255;-122.25767;-61.3;NaN;;10.2;9.67742;44.4;13 / 15;8320007;2015-07-28 19:48:01:799
-1.546;0.211;9.087;-1.463;0.154;9.696;-0.029;0.022;-0.35;-0.012;0.019;0.002;13.0;2.5;19.7;-50.3;12.2;-0.9;8.6;0.0;1022.2;54.8;47.61257;-122.25764;-61.3;NaN;;10.8;9.67742;38.5;13 / 15;8321007;2015-07-28 19:48:02:799
-1.805;0.044;9.736;-1.76;0.085;9.647;-0.055;-0.046;0.164;0.028;-0.018;0.03;15.0;3.7;20.5;-50.2;14.0;-0.4;10.4;0.0;1022.2;59.43;47.6126;-122.25763;-64.5;NaN;;10.5;9.67742;41.4;13 / 15;8322007;2015-07-28 19:48:03:799
-1.276;-0.076;10.276;-1.403;-0.007;9.706;-0.006;-0.06;0.566;-0.034;-0.032;0.018;13.0;2.5;20.3;-50.6;12.6;-0.2;8.4;0.0;1022.2;58.12;47.61262;-122.2576;-61.3;NaN;;10.2;9.67742;37.6;11 / 13;8323007;2015-07-28 19:48:04:799
-0.88;-0.096;9.774;-0.97;-0.032;9.758;0.035;0.007;-0.233;-0.03;0.001;-0.005;12.0;1.0;21.1;-50.1;10.7;0.2;5.7;0.0;1022.2;62.62;47.61264;-122.25758;-61.3;NaN;;10.3;9.67742;37.1;11 / 13;8324008;2015-07-28 19:48:05:800
-0.769;0.13;9.601;-0.836;0.115;9.77;0.059;-0.022;0.07;0.007;0.005;-0.034;14.0;0.1;20.2;-50.2;11.8;-0.7;5.0;0.0;1022.3;61.08;47.61266;-122.25756;-61.3;NaN;;11.0;9.67742;37.9;9 / 10;8325007;2015-07-28 19:48:06:799
-1.086;0.158;9.852;-0.996;0.105;9.755;-0.067;0.044;0.169;0.049;0.005;-0.036;14.0;0.2;20.6;-50.3;13.3;-0.2;5.8;0.0;1022.3;60.37;47.61268;-122.25753;-61.3;NaN;;10.8;9.67742;43.2;13 / 15;8326007;2015-07-28 19:48:07:799
-1.301;0.115;9.723;-1.228;0.069;9.729;-0.089;0.048;0.18;-0.005;0.048;0.032;13.0;0.0;20.0;-50.5;16.6;-0.4;7.0;0.0;1022.3;59.33;47.61269;-122.2575;-64.5;NaN;;10.5;9.67742;44.1;12 / 13;8327007;2015-07-28 19:48:08:799
-1.623;0.099;9.753;-1.546;0.113;9.683;-0.072;-0.012;0.09;0.017;0.017;0.051;13.0;1.6;20.1;-49.8;15.8;-0.6;9.0;0.0;1022.3;57.52;47.61271;-122.25748;-61.3;NaN;;10.7;9.67742;44.7;12 / 13;8328007;2015-07-28 19:48:09:799
-1.679;0.101;9.487;-1.621;0.033;9.672;-0.094;0.069;0.061;-0.023;0.005;0.017;15.0;3.6;20.4;-50.1;12.1;-0.2;9.5;0.0;1022.2;58.61;47.61273;-122.25745;-61.3;NaN;;10.8;9.67742;42.4;12 / 14;8329006;2015-07-28 19:48:10:798
-1.393;0.1;9.755;-1.442;0.161;9.699;-0.006;-0.091;0.155;0.062;-0.033;0.013;13.0;3.7;20.3;-50.1;10.0;-0.6;8.7;0.0;1022.3;55.84;47.61276;-122.25743;-58.1;NaN;;10.7;9.67742;37.0;11 / 14;8330007;2015-07-28 19:48:11:799
-1.205;-0.145;10.531;-1.257;-0.146;9.725;-0.001;-0.045;1.058;-0.04;0.009;0.001;10.0;2.1;21.0;-49.6;12.2;0.8;7.3;0.0;1022.3;60.24;47.61278;-122.2574;-58.1;NaN;;10.5;9.67742;38.5;13 / 15;8331007;2015-07-28 19:48:12:799
-1.221;0.019;9.922;-1.087;0.041;9.746;-0.083;0.027;-0.111;-0.034;0.005;-0.02;14.0;1.4;20.7;-50.2;12.1;-0.2;6.4;0.0;1022.3;59.64;47.6128;-122.25738;-54.8;NaN;;9.4;9.67742;45.4;12 / 14;8332007;2015-07-28 19:48:13:799
-1.301;0.129;9.477;-1.102;0.026;9.745;-0.085;0.133;-0.109;-0.04;0.007;-0.02;14.0;1.1;21.0;-49.9;12.3;-0.2;6.5;0.0;1022.3;59.57;47.61281;-122.25736;-58.1;NaN;;10.0;9.67742;40.9;13 / 15;8333007;2015-07-28 19:48:14:799
-1.156;0.268;8.558;-1.099;0.255;9.742;0.022;-0.013;-1.002;0.009;0.001;-0.034;10.0;1.5;20.2;-50.3;12.2;-1.4;6.4;0.0;1022.2;58.13;47.61283;-122.25733;-58.1;NaN;;10.3;9.67742;43.5;11 / 13;8334007;2015-07-28 19:48:15:799
-1.62;0.115;9.916;-1.53;0.079;9.686;-0.06;0.017;0.332;0.084;0.027;0.003;15.0;2.5;20.8;-49.7;15.1;-0.1;8.8;0.0;1022.3;59.95;47.61285;-122.2573;-58.1;NaN;;9.9;9.67742;43.8;11 / 12;8335007;2015-07-28 19:48:16:799
