year,month,day,hod,temp,pressure,direction,dirfixed,speed
2015,7,28,16.716666666666665,76.7,30.1,326.0,326.0,11.4
2015,7,28,16.733333333333334,76.5,30.1,331.0,331.0,12.1
2015,7,28,16.75,76.5,30.1,330.0,330.0,11.9
2015,7,28,16.766666666666666,76.5,30.1,327.0,327.0,11.9
2015,7,28,16.783333333333335,76.5,30.1,330.0,330.0,11.5
2015,7,28,16.8,76.6,30.1,329.0,329.0,11.4
2015,7,28,16.816666666666666,76.6,30.1,331.0,331.0,11.5
2015,7,28,16.833333333333332,76.6,30.1,337.0,337.0,10.4
2015,7,28,16.85,76.6,30.1,329.0,329.0,10.3
2015,7,28,16.866666666666667,76.6,30.1,329.0,329.0,13.1
2015,7,28,16.883333333333333,76.6,30.1,330.0,330.0,13.2
2015,7,28,16.9,76.6,30.1,328.0,328.0,11.6
2015,7,28,16.916666666666668,76.7,30.1,326.0,326.0,10.0
2015,7,28,16.933333333333334,76.8,30.1,327.0,327.0,9.5
2015,7,28,16.95,76.8,30.1,324.0,324.0,12.2
2015,7,28,16.966666666666665,76.7,30.1,316.0,316.0,11.6
2015,7,28,16.983333333333334,76.6,30.1,327.0,327.0,13.5
2015,7,28,17.0,76.6,30.1,326.0,326.0,13.0
2015,7,28,17.033333333333335,76.8,30.1,327.0,327.0,12.1
2015,7,28,17.05,76.8,30.1,330.0,330.0,11.8
2015,7,28,17.066666666666666,76.8,30.1,322.0,322.0,11.0
2015,7,28,17.083333333333332,76.7,30.1,324.0,324.0,12.6
2015,7,28,17.1,76.7,30.1,323.0,323.0,11.9
2015,7,28,17.116666666666667,76.8,30.1,325.0,325.0,10.7
2015,7,28,17.133333333333333,76.8,30.1,321.0,321.0,8.0
2015,7,28,17.15,76.9,30.1,334.0,334.0,12.7
2015,7,28,17.166666666666668,76.9,30.1,331.0,331.0,11.9
2015,7,28,17.183333333333334,76.9,30.1,338.0,338.0,13.0
2015,7,28,17.2,76.9,30.1,338.0,338.0,11.0
2015,7,28,17.216666666666665,77.0,30.1,339.0,339.0,10.8
2015,7,28,17.233333333333334,77.0,30.1,336.0,336.0,13.7
2015,7,28,17.25,77.0,30.1,340.0,340.0,12.3
2015,7,28,17.266666666666666,77.1,30.1,330.0,330.0,12.2
2015,7,28,17.283333333333335,77.1,30.1,332.0,332.0,11.0
2015,7,28,17.3,77.2,30.1,333.0,333.0,9.1
2015,7,28,17.316666666666666,77.1,30.1,326.0,326.0,14.2
2015,7,28,17.333333333333332,77.2,30.1,332.0,332.0,13.2
2015,7,28,17.35,77.2,30.1,329.0,329.0,10.6
2015,7,28,17.366666666666667,77.3,30.1,325.0,325.0,12.4
2015,7,28,17.383333333333333,77.3,30.1,322.0,322.0,11.6
2015,7,28,17.4,77.3,30.1,323.0,323.0,13.4
2015,7,28,17.416666666666668,77.3,30.1,329.0,329.0,10.4
2015,7,28,17.433333333333334,77.4,30.1,325.0,325.0,9.0
2015,7,28,17.45,77.3,30.1,320.0,320.0,9.7
2015,7,28,17.466666666666665,77.4,30.1,319.0,319.0,10.0
2015,7,28,17.483333333333334,77.4,30.1,316.0,316.0,9.9
2015,7,28,17.5,77.5,30.1,318.0,318.0,11.6
2015,7,28,17.516666666666666,77.5,30.1,337.0,337.0,10.4
2015,7,28,17.533333333333335,77.6,30.1,328.0,328.0,9.5
2015,7,28,17.55,77.5,30.1,322.0,322.0,12.1
2015,7,28,17.566666666666666,77.5,30.1,325.0,325.0,9.6
2015,7,28,17.583333333333332,77.5,30.1,328.0,328.0,11.6
2015,7,28,17.6,77.5,30.1,329.0,329.0,11.6
2015,7,28,17.616666666666667,77.5,30.1,326.0,326.0,10.2
2015,7,28,17.633333333333333,77.6,30.1,325.0,325.0,10.3
2015,7,28,17.65,77.5,30.1,321.0,321.0,10.4
2015,7,28,17.666666666666668,77.6,30.1,331.0,331.0,11.6
2015,7,28,17.783333333333335,77.8,30.1,328.0,328.0,10.7
2015,7,28,17.8,77.8,30.1,329.0,329.0,10.0
2015,7,28,17.816666666666666,77.8,30.1,323.0,323.0,11.0
2015,7,28,17.833333333333332,77.9,30.1,325.0,325.0,10.0
2015,7,28,17.85,77.9,30.1,330.0,330.0,9.8
2015,7,28,17.866666666666667,78.0,30.1,330.0,330.0,7.2
2015,7,28,17.883333333333333,78.2,30.1,314.0,314.0,8.4
2015,7,28,17.9,78.2,30.1,327.0,327.0,6.9
2015,7,28,17.916666666666668,78.3,30.1,309.0,309.0,7.6
2015,7,28,17.933333333333334,78.1,30.1,322.0,322.0,8.4
2015,7,28,17.95,78.0,30.1,325.0,325.0,10.3
